Time (t),d,f(d),erro
T01,10.032539,6423.886928,09.032539
T02,01.004475,-3.216742,09.028064
T03,01.008994,-3.249423,00.004519
T04,00.559737,-0.728158,00.449257
T05,00.429989,-0.278389,00.129748
T06,00.349680,-0.063520,00.080309
T07,00.325939,-0.009345,00.023741
T08,00.321843,-0.000432,00.004095
T09,00.321645,-0.000003,00.000199
